불평키워드,생산공정 단계,수정 활동,예상 비용(원),예상 기간(일),비고
끈적임,제형(배합),점도 조절(증점제 감소/증가),8000000,5,파일럿 배치 1회 포함
냄새,제형(향료),향료 교체 및 안정성 테스트,12000000,7,IFRA 규격 확인
자극,제형(pH),pH 5.5±0.2 조정 + 자극 시험,10000000,10,1차 피부 자극 테스트
끈적거림 지속,제형(배합),실리콘 / 유분 비율 조정,9500000,6,관능 평가 2회 포함
기름짐,제형(배합),흡유 파우더 추가,7500000,5,피지 흡수 테스트
흡수 느림,제형(배합),유화형태 변경 (W/O→O/W),14000000,9,유화안정성 검증
트러블,보존/안전,살리실산↓ + 대체 보존제,18000000,14,HRIPT 포함
알러지,보존/안전,향료 알러젠 삭제,15000000,12,전성분 라벨 수정
백탁,제형(안료),무기자차 코팅 변경,11000000,8,SPF/PFA 재측정
밀림,제형(배합),유분/파우더 비율 재조정,8200000,5,메이크업 밀착 테스트
주름 끼임,제형(배합),실리콘오일 종류 교체,9000000,6,관능 평가
건조함,제형(보습),히알루론산 고분자 추가,10500000,7,수분지속 시험
펌프 불량,충전/패키징,펌프 헤드 규격 변경,15000000,14,신규 금형 발주
새는 용기,패키징,용기 두께 증대 + 실링 테스트,17000000,12,외관 검사
용기 딱딱함,패키징,재질 PP→PETG 변경,13000000,10,라인 세팅
라벨 벗겨짐,패키징,접착제 등급 상향,6000000,4,라인 스톱 0.5일
향 강함,제형(향료),향료 1 → 0.7 wt% 감소,6500000,5,관능 평가
색상 불만,제형(안료),착색안료 Shade 조정,7800000,6,색차(ΔE) 측정
제형 분리,혼합/유화,교반 속도·시간 재설계,8800000,6,가속 안정성 시험
유통기한 불안,보존/안전,방부제 시스템 강화 + Challenge Test,20000000,21,미생물 시험 재실시
